row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr
63,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.331,0.055,0.292,0.104,0.405,0.197,0.124,0.047,0.612,0.328,0.009,0.002,0.274274274,0.384384384,0.242242242,0.099099099,8,7,0.328,,0.121,0.138,,0.287,12,,,3259,3249,a
64,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.411,0.067,0.204,0.057,0.501,0.193,0.183,0.023,0.3,0.655,0.005,0.001,0.269346734,0.380904523,0.269346734,0.08040201,9,10,0.364,0.306,0.156,0.113,,0.323,13,,24.31,,,a
65,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.547,0.04,0.097,0.064,0.503,0.219,0.188,0.009,0.009,0.965,0,0.004,0.072580645,0.349798387,0.368951613,0.208669355,11,11,0.264,0.13,0.086,0.058,0.216,0.239,12,,12.44,2080,1560,a
67,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.512,0.07,0.138,0.029,0.502,0.283,0.096,0.158,0.111,0.665,0.001,0.05,0.083503055,0.270875764,0.302443992,0.343177189,11,6,0.322,0.182,0.106,0.086,0.233,0.235,13,2.59,8.31,2079,1990,b
68,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.318,0.057,0.252,0.173,0.487,0.272,0.254,0.086,0,0.895,0.007,0,0.168326693,0.395418327,0.253984064,0.182270916,7,11,0.252,,0.095,,,0.228,11,,,,,a
70,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Recreation,0.441,0.058,0.327,0.125,0.513,0.183,0.244,0.301,0.001,0.657,0.027,0.005,0.12202381,0.266865079,0.331349206,0.279761905,9,10,0.23,0.219,0.081,0.098,0.181,0.222,9,8.38,17.85,2910,1569,b
71,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Recreation,0.397,0.082,0.232,0.157,0.495,0.198,0.255,0.175,0.002,0.639,0.168,0.011,0.156345178,0.296446701,0.377664975,0.169543147,12,15,0.273,0.25,0.118,0.085,0.145,0.256,10,8.8,25.83,1759,1709,a
73,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.321,0.097,0.214,0.09,0.499,0.177,0.267,0.035,0,0.921,0.01,0.003,0.082259663,0.328047572,0.444995045,0.144697721,7,12,0.315,0.159,0.123,,0.181,0.226,10,,,2019,,b
76,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.368,0.107,0.298,0.099,0.498,0.22,0.171,0.003,0.597,0.356,0.027,0,0.241310824,0.314796425,0.337636544,0.106256207,10,10,0.364,0.268,0.157,0.15,,0.317,13,,16.47,5139,,a
77,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.567,0.043,0.213,0.121,0.515,0.226,0.202,0.076,0.003,0.878,0.02,0.002,0.114,0.381,0.287,0.218,13,13,0.323,0.203,0.122,0.053,,0.342,10,,,1390,819,a
78,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.342,0.064,0.242,0.097,0.466,0.195,0.214,0.027,0.087,0.854,0.005,0.002,0.222664016,0.402584493,0.294234592,0.080516899,9,13,0.355,0.306,0.155,0.08,0.079,0.337,12,,47.4,3979,5369,a
79,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.296,0.151,0.273,0.084,0.498,0.227,0.131,0.006,0.852,0.143,0.006,0,0.241210938,0.359375,0.237304688,0.162109375,14,11,0.444,0.181,0.192,0.177,0.085,0.361,11,,22.59,,3809,a
80,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.351,0.092,0.19,0.084,0.493,0.209,0.168,0.009,0.005,0.981,0,0.005,0.253716551,0.354806739,0.282457879,0.109018831,9,13,0.289,0.319,0.126,0.085,,0.297,13,,18.65,16109,3140,b
82,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.413,0.049,0.318,0.095,0.505,0.271,0.13,0.396,0.02,0.548,0.02,0.009,0.192502533,0.255319149,0.324214792,0.227963526,16,6,0.274,0.231,0.072,0.083,0.132,0.286,9,,18.57,3580,1569,b
83,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.419,0.059,0.25,0.051,0.512,0.241,0.187,0.021,0.308,0.638,0.002,0.008,0.167004049,0.431174089,0.261133603,0.140688259,10,14,0.35,0.346,0.151,0.091,,0.339,11,,32.42,9080,3000,b
85,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.521,0.051,0.149,0.057,0.504,0.2,0.229,0.019,0.016,0.952,0.01,0.008,0.081716037,0.390194076,0.324821246,0.203268641,8,12,0.301,0.23,0.108,0.078,0.25,0.251,11,,29.53,3130,979,a
86,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.331,0.076,0.25,0.107,0.411,0.197,0.156,0.097,0.347,0.547,0.009,0,0.255744256,0.376623377,0.265734266,0.101898102,11,11,0.373,0.211,0.138,0.098,0.111,0.332,12,8.84,31.48,8850,7329,b
87,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.495,0.064,0.177,0.051,0.523,0.219,0.139,0.049,0.246,0.658,0.006,0.037,0.112449799,0.320281124,0.28313253,0.284136546,12,9,0.339,0.188,0.11,0.092,0.139,0.276,12,6.8,14.17,1289,1300,a
90,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.335,0.06,0.233,0.102,0.514,0.27,0.073,0.168,0.155,0.616,0.016,0.016,0.12202381,0.306547619,0.424603175,0.146825397,14,6,0.293,0.162,0.089,0.081,,0.258,9,2.91,13.6,5919,5460,b
94,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.436,0.065,0.213,0.086,0.482,0.214,0.15,0.027,0.023,0.887,0.011,0.03,0.132734531,0.337325349,0.263473054,0.266467066,11,10,0.329,0.258,0.099,0.075,0.153,0.254,10,3.22,20.12,2659,999,b
95,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.506,0.037,0.101,0.044,0.486,0.244,0.145,0.03,0.003,0.946,0.004,0,0.077154309,0.359719439,0.326653307,0.236472946,11,8,0.289,0.284,0.09,0.081,0.225,0.273,9,,18.88,2479,1640,a
96,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.326,0.112,0.187,0.065,0.478,0.183,0.186,0.006,0.037,0.949,0.009,0,0.299599198,0.349699399,0.251503006,0.099198397,8,14,0.289,0.295,0.12,0.1,,0.278,13,9.1,36.69,5890,2980,a
97,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.592,0.027,0.132,0.064,0.511,0.241,0.181,0.045,0.007,0.937,0,0,0.074626866,0.331343284,0.354228856,0.239800995,14,9,0.301,0.167,0.083,0.059,0.17,0.257,12,,,3279,3290,b
98,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.561,0.066,0.223,0.156,0.486,0.27,0.132,0.238,0.004,0.692,0.056,0.003,0.191808192,0.36963037,0.360639361,0.077922078,15,5,0.299,0.174,0.073,0.075,0.162,0.212,13,,36.99,6030,5940,a
101,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.526,0.045,0.094,0.039,0.511,0.182,0.184,0.015,0,0.96,0,0.005,0.093,0.343,0.274,0.29,9,11,0.288,0.182,0.097,0.058,0.167,0.212,11,1.7,11.3,1400,1259,a
102,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.506,0.056,0.151,0.041,0.5,0.235,0.169,0.091,0.009,0.881,0.012,0,0.110775428,0.333333333,0.348439074,0.207452165,10,10,0.291,0.163,0.112,0.063,0.209,0.254,12,,20.33,2909,1699,a
103,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.381,0.077,0.221,0.089,0.525,0.202,0.247,0.019,0.243,0.717,0.004,0.003,0.170854271,0.350753769,0.324623116,0.153768844,8,12,0.327,0.209,0.156,0.091,,0.257,12,,14.06,13600,4520,a
105,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.452,0.055,0.257,0.115,0.496,0.239,0.178,0.021,0.013,0.78,0.127,0.003,0.12474645,0.427991886,0.283975659,0.163286004,12,11,0.354,0.247,0.145,0.066,,0.352,10,,41.37,1269,3289,a
106,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.396,0.079,0.141,0.065,0.494,0.203,0.148,0.031,0.02,0.912,0.018,0.021,0.110772358,0.362804878,0.298780488,0.227642276,10,9,0.294,0.26,0.112,0.072,0.224,0.254,11,1,11.5,2660,1829,a
108,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.68,0.02,0.2,0.106,0.493,0.219,0.229,0.067,0,0.92,0.006,0,0.064935065,0.324675325,0.412587413,0.197802198,7,19,0.292,0.122,0.096,,0.14,0.331,13,,,1019,980,b
111,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.389,0.058,0.164,0.059,0.451,0.217,0.108,0.069,0.308,0.564,0.009,0.02,0.117,0.339,0.328,0.216,11,6,0.361,0.251,0.123,0.079,0.176,0.257,12,,14.05,5319,6150,a
112,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.474,0.054,0.188,0.078,0.505,0.265,0.112,0.051,0.146,0.734,0,0.053,0.079079079,0.241241241,0.326326326,0.353353353,13,6,0.264,0.161,0.097,0.089,0.156,0.232,13,1.01,11.16,1830,839,b
113,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.451,0.055,0.234,0.049,0.512,0.25,0.145,0.024,0.006,0.943,0.003,0.01,0.15862069,0.431527094,0.257142857,0.15270936,13,10,0.346,0.177,0.136,0.07,0.106,0.343,13,5.8,24.63,3590,1869,a
114,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.567,0.053,0.125,0.045,0.496,0.228,0.166,0.019,0.006,0.957,0.006,0.001,0.083083083,0.392392392,0.336336336,0.188188188,10,11,0.319,0.19,0.091,0.055,0.258,0.2,12,,20.99,2200,1040,b
116,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.499,0.061,0.163,0.121,0.472,0.281,0.116,0.481,0.015,0.478,0.033,0.01,0.143283582,0.370149254,0.371144279,0.115422886,15,5,0.336,0.202,0.098,0.074,0.189,0.249,10,,23.64,4410,2859,b
117,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.558,0.05,0.077,0.032,0.507,0.226,0.148,0.024,0.011,0.949,0.001,0.006,0.062753036,0.305668016,0.339068826,0.292510121,11,8,0.272,0.136,0.093,0.057,0.285,0.224,12,0.67,10.1,2049,1650,b
118,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.498,0.065,0.222,0.059,0.516,0.223,0.141,0.057,0.275,0.614,0.004,0.023,0.165829146,0.293467337,0.305527638,0.235175879,14,12,0.354,0.263,0.112,0.108,0.132,0.246,13,10.35,9.9,1840,1379,b
119,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.408,0.049,0.243,0.043,0.51,0.224,0.196,0.03,0.097,0.849,0.007,0,0.205588822,0.373253493,0.289421158,0.131736527,12,13,0.348,0.327,0.136,0.094,0.131,0.319,13,8.1,25.82,13360,4480,a
123,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.467,0.051,0.248,0.09,0.511,0.223,0.13,0.049,0.402,0.506,0.004,0.021,0.109768379,0.253776435,0.30715005,0.329305136,14,9,0.28,0.187,0.103,0.096,0.162,0.239,13,10.9,12.5,1600,1199,a
125,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.509,0.085,0.283,0.155,0.46,0.246,0.09,0.036,0.003,0.721,0.136,0.048,0.083166333,0.265531062,0.365731463,0.285571142,12,6,0.276,0.242,0.062,0.042,0.215,0.239,,,17.68,2470,1950,b
127,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.521,0.057,0.221,0.091,0.501,0.23,0.163,0.328,0.019,0.553,0.013,0.075,0.168032787,0.18852459,0.318647541,0.324795082,11,8,0.23,0.089,0.067,0.058,0.237,0.138,8,0.93,10.82,1349,1160,b
128,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.559,0.039,0.215,0.106,0.514,0.23,0.231,0.019,0.004,0.879,0.094,0.006,0.085968379,0.373517787,0.348814229,0.191699605,12,16,0.283,0.128,0.091,0.053,0.2,0.33,12,,37.87,1459,2140,b
